personId,personName,twitterUserId
1,Rob Gremley,41203376
2,Vasant Narasimhan,723488741348782080
3,Philip Hess,204074545
4,TekTaurus,3229087194
5,The_AIOps_Guy,1013777288335413248
6,femtech_,1143528514550927361
7,manisjohal,1215874082
8,GaryGenard,286178174
9,WebWindowsMkg,183263788
10,ReedAbend,1178423913757450253
11,gurobi,39560237
12,minuskeli,85262756
13,TietoEVRYfi,1200799908
14,abhibisht89,140743651
15,chidambara09,737142202481016832
16,StartGrowthHack,715797742036062208
17,akdm_bot,919744697551253505
18,JustBeMentalist,19539923
19,fullNam35087976,985425300292022273
20,StaceyMGaines,23069519
21,mrubioc,14472695
22,bundesbank,784790730
