twitterUserId,name,screenname,location,followersCount,tweetsCount
41203376,Rob Gremley,robgremley,,157,2
90446356,ETQ,etqsoftware,Offices in US & International,4273,5910
1086037534176473088,Data Visualization Society,DataVizSociety,,19877,1488
723488741348782080,Vas Narasimhan,VasNarasimhan,"Basel, Switzerland",13239,464
17226612,Novartis,Novartis,"Basel, Switzerland",266273,12211
767675409336897536,Mr Data Scientist,NVSData,"Melbourne, Victoria",3446,101745
204074545,Bose,Bose,"Framingham, MA",217421,10310
204074545,Bose,Bose,"Framingham, MA",217421,10310
1729180992,BigDataAnalyticsNews,BDAnalyticsnews,Hyderabad,3374,1501
3229087194,TekTaurus Education,TekTaurus,"New Jersey, USA",238,1026
1013777288335413248,Mark Finn,The_AIOps_Guy,Devon,290,1149
1143528514550927361,FemTech_🖥👩🏽‍💻,femtech_,"Berlin, Germany",11557,497834
1215874082,Mani Johal,manisjohal,United Kingdom,2701,8239
286178174,Gary Genard,GaryGenard,Boston,9878,20365
183263788,WebWindows,WebWindowsMkg,"Peterborough, UK",870,2525
1178423913757450253,Reed Abend,ReedAbend,"Westport, CT",3513,12945
39560237,Gurobi Optimization,gurobi,USA,2983,734
85262756,Mikael Alatalo,minuskeli,Helsinki,945,1269
1200799908,TietoEVRY Suomi,TietoEVRYfi,"Helsinki, Finland",2076,3835
140743651,abhishek bisht,abhibisht89,delhi,425,25813
737142202481016832,Chidambara .ML.,chidambara09,Mysore  and  BERLIN,6546,982144
715797742036062208,Growth Hackers 🚀,StartGrowthHack,Around the world ✈,185981,63690
919744697551253505,AKDM bot!,akdm_bot,United States,1725,185860
19539923,dystopian mentalist,JustBeMentalist,Shropshire,3858,251247
985425300292022273,akasatanahama.com,fullNam35087976,"Chiyoda-ku, Tokyo",2036,122194
23069519,StaceyMGaines,StaceyMGaines,Mississippi,87,842
14472695,Manuel,mrubioc,"Madrid, Spain",288,2473
784790730,Deutsche Bundesbank,bundesbank,Frankfurt am Main,28479,4163
