"Name","Company","State","City","Salary","Location","Url"
"Data Visualization Engineer"," EtQ","MA","Burlington","$89k-$154k","Burlington, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=883702&s=149&guid=00000171a4bf645882d45223d592b816&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_16ea4e24&cb=1587606939199&jobListingId=3537908020"
"Director, Data Scientist – Visualization, Novartis AI Innovation Lab"," Novartis","MA","Cambridge","$128k-$208k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=410472&s=149&guid=00000171a4bf645882d45223d592b816&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4e10cbd2&cb=1587606939200&jobListingId=3382224518"
"AI & Data - Data Analytics and Insights Lead"," Bose","MA","Boston","$50k-$95k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=939664&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_02fd1913&cb=1587606939202&jobListingId=3357719999"
"Data Engineer Intern"," Health Catalyst","MA","Cambridge","","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=843953&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5b2b36b1&cb=1587606939203&jobListingId=3557469683"
"Data Scientist"," IT Concepts","MA","Boston","$101k-$135k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=940053&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_be2b91d5&cb=1587606939204&jobListingId=3521441124"
"Data Engineer"," Zylotech","MA","Cambridge","$55k-$67k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=859463&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_30eb76c1&cb=1587606939205&jobListingId=3488317313"
"Product Manager, Analytics"," HealthcareSource","MA","Woburn","$69k-$81k","Woburn, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=892138&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6b5e73fa&cb=1587606939206&jobListingId=3539832488"
"Data Analyst"," MassMutual","MA","Boston","$72k-$101k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=913902&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a0766e3c&cb=1587606939207&jobListingId=3548365743"
"Data Scientist"," Analysis Group","MA","Boston","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=833664&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_dc88a76f&cb=1587606939208&jobListingId=3126078217"
"Sr. Director Data and Analytics"," Dicerna","MA","Cambridge","$363k-$369k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=939249&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bd84f416&cb=1587606939209&jobListingId=3478461306"
"Data & Analytics Consultant (BOS)"," Systems Evolution Inc.","MA","Boston","$68k-$110k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=842705&s=58&guid=00000171a4bf6458b0bc36af2beb129f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_780c8f0f&cb=1587606939210&jobListingId=3007598482"
