"Name","Company","State","City","Salary","Location","Url"
"Data and Visualization Analyst"," AllSTEM Connections","IL","Chicago","$78k-$95k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=715831&s=149&guid=00000171a4c47ef691f158443a76963e&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b99d94f3&cb=1587607274135&jobListingId=3533978790"
"Data Engineer"," Sagence","IL","Chicago","$80k-$150k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=921948&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_806b9448&cb=1587607274137&jobListingId=3089499855"
"Big Data Engineer - Chicago - Future Opportunity"," Centro","IL","Chicago","$96k-$98k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=974638&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3523582a&cb=1587607274139&jobListingId=3436164608"
"Data Scientist"," Mars","IL","Chicago","$94k-$119k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=411256&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_97dc4fb5&cb=1587607274141&jobListingId=3485485449"
"Data Scientist"," BIOMERIEUX inc","IL","Chicago","$70k-$118k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=473862&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bc5964f9&cb=1587607274143&jobListingId=3559011324"
"Data Analyst"," Riskonnect","IL","Chicago","$55k-$69k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=865989&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1dc768e3&cb=1587607274144&jobListingId=3505094982"
"Senior Analyst, Survey Insights"," comScore","IL","Chicago","$72k-$84k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=800898&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_50c07176&cb=1587607274146&jobListingId=3497074443"
"Data Scientist"," Spectrum Communications and Consulting","IL","Chicago","$79k-$106k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=851528&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8b146b6e&cb=1587607274148&jobListingId=2649986689"
"Data Analyst"," Wintrust Financial","IL","Chicago","$59k-$66k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=903737&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c0caed98&cb=1587607274149&jobListingId=3462639840"
"Strategy & Operations Analyst"," Tempus Labs","IL","Chicago","$56k-$71k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=853928&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_a9cc6466&cb=1587607274151&jobListingId=3505185485"
"Data Analyst"," Braintree","IL","Chicago","$81k-$91k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=8095&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8d6fb846&cb=1587607274153&jobListingId=3511588195"
"Tableau Data Engineer 20-0117"," Relativity","IL","Chicago","$56k-$108k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=973055&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b651d80d&cb=1587607274154&jobListingId=3487632451"
"Azure Data Specialist"," Catapult Systems","IL","Chicago","$49k-$59k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=952144&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_85a72dee&cb=1587607274156&jobListingId=3470569121"
"Data Analyst"," Kelly","IL","Chicago","","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=935513&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2fef665d&cb=1587607274158&jobListingId=3543138816"
"Data Analyst"," GoHealth","IL","Chicago","$73k-$82k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=968334&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_6e103ec2&cb=1587607274159&jobListingId=3533207197"
"Specialist - Data Analyst"," Revantage Corporate Services","IL","Chicago","$45k-$67k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=971289&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ff083e86&cb=1587607274162&jobListingId=3521753953"
"Strategy Analyst"," Pampered Chef","IL","Addison","$70k-$80k","Addison, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=834026&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_59f47f47&cb=1587607274163&jobListingId=3355235181"
"Specialist - Business Analyst"," Revantage Corporate Services","IL","Chicago","$112k-$156k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=970910&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_26743f00&cb=1587607274165&jobListingId=3331775438"
"Art Director Chicago Intern"," Zeno Group","IL","Chicago","$53k-$71k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=718463&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_50adec5c&cb=1587607274167&jobListingId=3506512748"
"Data Scientist (Entry Level)"," Strike Social","IL","Chicago","$91k-$93k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4341&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_442e7e4c&cb=1587607274168&jobListingId=3365535664"
"Research Manager, Numerator Surveys"," Numerator","IL","Chicago","$56k-$80k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=841196&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_075e7b00&cb=1587607274170&jobListingId=3550903279"
"Data Analyst"," Unicorn Technologies, LLC","IL","Chicago","$44k-$81k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=389273&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_e9c6ccde&cb=1587607274171&jobListingId=3554984602"
"Data Scientist"," Anthem","IL","Chicago","$91k-$149k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=133148&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7cf6afcd&cb=1587607274173&jobListingId=3554881792"
"Data Analyst"," Mitchell Martin","IL","Chicago","","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4120&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0e5f24f7&cb=1587607274175&jobListingId=3557144801"
"Senior Consultant - Data Analytics"," Strive Consulting","IL","Chicago","$68k-$102k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=834585&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_dc5aa919&cb=1587607274180&jobListingId=3321932864"
"Data Analyst"," The Scion Group","IL","Chicago","$50k-$68k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=8095&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bcf2615b&cb=1587607274181&jobListingId=3475165831"
"Data Scientist - POS Data"," SPINS, LLC","IL","Chicago","$99k-$123k","Chicago, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=851062&s=58&guid=00000171a4c47ef6a36bb71e53c685b8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_705839b7&cb=1587607274183&jobListingId=3475149830"
