"Name","Company","State","City","Salary","Location","Url"
"Advanced Analytics - Sr. Analyst, Analyst"," Latcha+Associates","MI","Farmington Hills","$42k-$90k","Farmington Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=979318&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_0a9e4434&cb=1587607304673&jobListingId=3553897597"
"Data Scientist"," Amrock","MI","Detroit","$61k-$77k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=955176&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c6b5abd4&cb=1587607304674&jobListingId=3518024116"
"Data Visualization Specialist"," Rivian","MI","Plymouth","$55k-$63k","Plymouth, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=961248&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_83e51f95&cb=1587607304675&jobListingId=3524728769"
"Data Analyst"," Quicken Loans Inc","MI","Detroit","$42k-$76k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=961248&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_82734eab&cb=1587607304677&jobListingId=3556722051"
"Analyst, Data Visualization"," Assembly","MI","Detroit","$66k-$88k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4341&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_2034da27&cb=1587607304678&jobListingId=3550642405"
"Analytics Manager"," Aquent","MI","Detroit","","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=907370&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c33e833c&cb=1587607304679&jobListingId=3542314187"
"Data Analyst"," Cengage","MI","Farmington Hills","$43k-$62k","Farmington Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=816474&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_05754394&cb=1587607304680&jobListingId=3520431630"
"Data Analyst II (Data Science and Automation Analyst)"," Blue Cross Blue Shield of Michigan","MI","Detroit","$78k-$80k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=978439&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_47f6b30e&cb=1587607304681&jobListingId=3534237803"
"Data Analyst"," Optimal","MI","Dearborn","$45k-$80k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=152916&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_84442f2b&cb=1587607304682&jobListingId=3537295878"
"Sr. Manager/Director, Predictive Analytics"," Credit Acceptance","MI","Southfield","$106k-$118k","Southfield, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=148577&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_480cdcd4&cb=1587607304683&jobListingId=3103546081"
"Data Solutions Analyst"," Quicken Loans Inc","MI","Detroit","$34k-$74k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=961248&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_72edc77c&cb=1587607304684&jobListingId=3552406607"
"Data Scientist - Nationwide Opportunities"," Amazon","MI","Detroit","$82k-$139k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=133043&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0f04dfe8&cb=1587607304685&jobListingId=3471307428"
"Data Analyst"," Siliconteksystems","MI","Detroit","","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=85058&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1f56fb25&cb=1587607304686&jobListingId=3544859150"
"Customer Experience and Design Manager"," Aquent","MI","Detroit","","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=907370&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_693991b6&cb=1587607304687&jobListingId=3541833577"
"Data Analyst"," Snakeit Technologies","MI","Detroit","","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=389273&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_b478dc75&cb=1587607304688&jobListingId=3539245692"
"Data Analyst"," R3 Tek","MI","Detroit","","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=37049&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8ad5d90d&cb=1587607304689&jobListingId=3395951085"
"Data Scientist"," Aptiv","MI","Allen Park","$85k-$138k","Allen Park, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=242900&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4c920524&cb=1587607304689&jobListingId=3554808359"
"Data Scientist"," Quicken Loans","MI","Detroit","$67k-$98k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=242900&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_45e95c46&cb=1587607304690&jobListingId=3517172867"
"Data Analyst"," AccumTech","MI","Livonia","","Livonia, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=66506&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_12f9a11b&cb=1587607304691&jobListingId=3559956494"
"Research Analyst"," Wayne State","MI","Detroit","$59k-$69k","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6ed8af69&cb=1587607304692&jobListingId=3462931922"
"Data Scientist"," Optimal","MI","Dearborn","$86k-$113k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=152916&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_48f2be62&cb=1587607304693&jobListingId=3513275063"
"Data Analyst"," Apex Digital Solutions, Inc","MI","Southfield","$42k-$87k","Southfield, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=961248&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c7482bd3&cb=1587607304694&jobListingId=3549198782"
"Business Data Analyst"," Rapid Finance","MI","Detroit","","Detroit, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4341&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_e33b4d05&cb=1587607304696&jobListingId=3505146827"
"Data Analyst"," Robert Half","MI","Dearborn","","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=454823&s=58&guid=00000171a4c4f7b0a06fea1a9f441298&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c05d47f1&cb=1587607304696&jobListingId=3537135489"
