"Name","Company","State","City","Salary","Location","Url"
"Product Designer - Data Visualization"," MassMutual","NY","New York","$88k-$112k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=916490&s=149&guid=00000171a4bfbc18880f9bd14796c80c&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d84731a4&cb=1587606961643&jobListingId=3440537313"
"Data Visualization Engineer"," Point72","NY","New York","$197k-$248k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=845962&s=149&guid=00000171a4bfbc18880f9bd14796c80c&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e15647c2&cb=1587606961644&jobListingId=3430003403"
"Marketing Data Analyst I"," Raycon, Inc.","NY","New York","","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=270789&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_ced89e20&cb=1587606961645&jobListingId=3553601319"
"Data Analyst"," Success Academy Charter Schools","NY","New York","$93k-$114k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=967266&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2c740033&cb=1587606961646&jobListingId=3504111693"
"Tableau Developer"," USEReady","NJ","Cranford","$67k-$114k","Cranford, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=957449&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_f5907254&cb=1587606961647&jobListingId=3559609797"
"Data Analyst"," JDRF International","NY","New York","$46k-$79k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=956691&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7be9afc7&cb=1587606961648&jobListingId=3506555564"
"Data Scientist"," Affinity Solutions","NY","New York","$77k-$90k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=845207&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_908421be&cb=1587606961650&jobListingId=3413181705"
"Data Engineer"," Sagence","NY","New York","$80k-$150k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=921945&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e990c1be&cb=1587606961651&jobListingId=3089502227"
"Data Scientist"," Qapital","NY","New York","$94k-$139k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=971976&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f62bf728&cb=1587606961652&jobListingId=3518720598"
"Data Engineer I"," Audible","NJ","Newark","$156k-$194k","Newark, NJ","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=485504&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2e9d5ad9&cb=1587606961653&jobListingId=3337249568"
"Data Analyst, Reporting and Data Visualization"," The Walt Disney Company","NY","New York","$65k-$111k","New York, NY","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=400784&s=58&guid=00000171a4bfbc1883e6b9f663d9f5bf&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_661b7e4a&cb=1587606961654&jobListingId=3554610852"
