"Name","Company","State","City","Salary","Location","Url"
"Diversity and Inclusion Data Analyst"," FHLBank Pittsburgh","PA","Pittsburgh","$44k-$58k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=978222&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_17e68eb0&cb=1587607182753&jobListingId=3518696903"
"Data Analyst"," Sheetz","PA","Pittsburgh","$41k-$61k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=739515&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b7692b3e&cb=1587607182754&jobListingId=3537008389"
"Data Analyst"," ConnectiveRx","PA","Pittsburgh","$28k-$53k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=856066&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_94d14700&cb=1587607182755&jobListingId=3475187818"
"Data Scientist"," Carmeuse","PA","Pittsburgh","$85k-$106k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=890899&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_fdc1d32a&cb=1587607182756&jobListingId=3470489212"
"Innovation Analytics Manager"," Sheetz","PA","Pittsburgh","$65k-$94k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=739515&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_909bbbc0&cb=1587607182757&jobListingId=3375768522"
"Data Analyst"," University of Pittsburgh","PA","Pittsburgh","$35k-$56k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=3839&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6775f6da&cb=1587607182759&jobListingId=3490156219"
"Data Scientist"," Schlumberger","PA","Pittsburgh","$77k-$100k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=400784&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4d03171b&cb=1587607182760&jobListingId=3541559581"
"Director of Analytics & Insight"," Giant Eagle","PA","Pittsburgh","$58k-$114k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=781856&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2291d89f&cb=1587607182761&jobListingId=3558592203"
"Data Scientist"," Smith Micro","PA","Pittsburgh","$57k-$95k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=209461&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c4a88e97&cb=1587607182762&jobListingId=3558602572"
"Data Scientist - Nationwide Opportunities"," Amazon","PA","Pittsburgh","$73k-$118k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=133043&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8c75bd0b&cb=1587607182763&jobListingId=3471307406"
"Robotic Simulation Engineer IV"," Honeywell","PA","Pittsburgh","$88k-$126k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=90186&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7c34e8c3&cb=1587607182764&jobListingId=3475882940"
"Power BI Data Analyst"," Carmeuse","PA","Pittsburgh","$42k-$67k","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=890899&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_52984425&cb=1587607182766&jobListingId=3483463576"
"Data Scientist"," uxax","PA","Pittsburgh","","Pittsburgh, PA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=389273&s=58&guid=00000171a4c31bfcbf6bdd0aacce4820&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_fcac4f21&cb=1587607182767&jobListingId=3559752079"
