"Name","Company","State","City","Salary","Location","Url"
"Data Visualization Developer I"," Acumen","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=843013&s=149&guid=00000171a4c415fb8eef79454dda36d1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f5fc0100&cb=1587607246824&jobListingId=3396508842"
"Visual Designer - Dashboarding and Data Visualization"," Aquent","CA","Oakland","","Oakland, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=907370&s=149&guid=00000171a4c415fb8eef79454dda36d1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_892d3c58&cb=1587607246825&jobListingId=3536840657"
"Legal Operations eBilling Administrator & Analyst"," The Clorox Company","CA","Oakland","$42k-$47k","Oakland, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=981948&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_506bacf1&cb=1587607246826&jobListingId=3501375596"
"Front-End Developer"," Beam","CA","San Francisco","$95k-$125k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=894984&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c31414f8&cb=1587607246827&jobListingId=3071077389"
"Clinical Quality Improvement Manager"," Alameda Health System","CA","Oakland","$160k-$200k","Oakland, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=196745&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_da776303&cb=1587607246828&jobListingId=3538418501"
"Data Scientist"," Blue Owl","CA","San Francisco","$119k-$139k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=919804&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d3eb618a&cb=1587607246829&jobListingId=3343053790"
"Data Analyst"," Jam City","CA","San Francisco","$84k-$116k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=885056&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1550edc2&cb=1587607246830&jobListingId=3542945338"
"Data Visualization Developer"," Observable","CA","San Francisco","$110k-$143k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=148364&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5c2aaef3&cb=1587607246831&jobListingId=3516602459"
"eCom Senior Data Analyst"," PepsiCo","CA","San Francisco","$88k-$150k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=874383&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_266bce92&cb=1587607246832&jobListingId=3555361933"
"Fullstack Engineer"," Mixpanel","CA","San Francisco","$141k-$175k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=955226&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_67ab10af&cb=1587607246833&jobListingId=3164736645"
"Data Specialist"," Brown & Toland Physicians","CA","Oakland","$40k-$64k","Oakland, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=973372&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0aacc5e1&cb=1587607246835&jobListingId=3533134773"
"Compensation Manager"," Carbon3D","CA","Redwood City","$105k-$134k","Redwood City, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=954032&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d0f38169&cb=1587607246836&jobListingId=3540994023"
"Data Scientist"," Formation","CA","San Francisco","$119k-$139k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=855770&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b55e4fa4&cb=1587607246837&jobListingId=3247650676"
"Senior Data Scientist - Underwriting Algorithms"," Faire","CA","San Francisco","$152k-$172k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=770804&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b418cc65&cb=1587607246838&jobListingId=3548928187"
"Data Analyst"," NCSOFT","CA","San Mateo","$80k-$94k","San Mateo, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=831914&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_7d60682c&cb=1587607246839&jobListingId=3379431479"
"Senior Data Engineer"," My Job Tank","CA","San Francisco","$150k-$170k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=824699&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_7ac2efda&cb=1587607246840&jobListingId=3546905268"
"Product Data Science"," Loom","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=148364&s=58&guid=00000171a4c415fb8092b14844b884a8&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_750e5865&cb=1587607246841&jobListingId=3533496069"
