"Name","Company","State","City","Salary","Location","Url"
"BI & Analytics Senior Associate"," Revel Consulting","WA","Seattle","$139k-$157k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=842267&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_fa1f5c99&cb=1587607511632&jobListingId=3347693235"
"Data Engineer"," Sonos","WA","Seattle","$90k-$112k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=576107&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_228b4b96&cb=1587607511634&jobListingId=3521347530"
"principal machine learning engineer"," Starbucks","WA","Seattle","$112k-$190k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=960382&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6176f8fc&cb=1587607511635&jobListingId=3497904430"
"Fullstack Engineer"," Mixpanel","WA","Seattle","$157k-$175k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=952821&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_186c74e6&cb=1587607511636&jobListingId=3380691239"
"Senior Data Engineer"," PayScale","WA","Seattle","$112k-$201k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=842476&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_da89e38f&cb=1587607511637&jobListingId=3557656822"
"Sr. Business Analyst - AWS"," Amazon","WA","Seattle","$108k-$130k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=974602&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2ac1b406&cb=1587607511638&jobListingId=3538255418"
"Data Visualization Engineer"," ST Global LLC","WA","Seattle","","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=735551&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c21567ec&cb=1587607511639&jobListingId=3559982124"
"Managing Director – Data & AI"," The Spur Group","WA","Redmond","$43k-$92k","Redmond, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=979548&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_de7f18c7&cb=1587607511640&jobListingId=3552748775"
"Big Data Engineer"," Revel Consulting","WA","Seattle","$79k-$108k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=842268&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_13e58353&cb=1587607511641&jobListingId=3347677513"
"Research Intern - Data Visualization"," Microsoft","WA","Redmond","","Redmond, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=37049&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6cb0aa10&cb=1587607511642&jobListingId=3496961654"
"Data Analytics Career Track Mentor (Part-Time/Flexible/Remote)"," Springboard","WA","Seattle","$47k-$76k","Seattle, WA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=954179&s=58&guid=00000171a4c8201ab9de99635e0d4c92&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8acf6ba7&cb=1587607511643&jobListingId=3511366732"
