"Name","Company","State","City","Salary","Location","Url"
"Geo Data Visualization Front-End Developer"," Esri","VA","Arlington","$94k-$211k","Arlington, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=177702&s=149&guid=00000171a4c6b7ecbec48a5738eac877&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_fbee39f3&cb=1587607419425&jobListingId=3555061815"
"Data Analytics and Visualization Specialist"," Reingold Inc","VA","Alexandria","$53k-$84k","Alexandria, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=966466&s=149&guid=00000171a4c6b7ecbec48a5738eac877&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_ec7ecea1&cb=1587607419427&jobListingId=3438642539"
"Data Analyst"," The Washington Post","DC","Washington","$45k-$83k","Washington, DC","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=230607&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_071839c9&cb=1587607419429&jobListingId=3503090783"
"Senior Engineer, Data Visualization (Tableau)"," EVERFI","DC","Washington","$109k-$129k","Washington, DC","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=962624&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_0a6b7517&cb=1587607419431&jobListingId=3508147808"
"Data Scientist"," BPA Services","DC","Washington","$150k-$160k","Washington, DC","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=970318&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_70f97d66&cb=1587607419433&jobListingId=3537724958"
"Data Analyst"," comScore","VA","Reston","$71k-$81k","Reston, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=800898&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f2ca18c4&cb=1587607419435&jobListingId=3496797916"
"Data Analyst"," Celerity","VA","McLean","$61k-$66k","McLean, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=863332&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7c61da3d&cb=1587607419436&jobListingId=3548200760"
"Data Scientist"," ManTech","VA","Chantilly","$216k-$234k","Chantilly, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=784701&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7e7ecff8&cb=1587607419438&jobListingId=3437830919"
"Conservation Data Scientist"," World Wildlife Fund","DC","Washington","$83k-$137k","Washington, DC","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=933896&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d7ead226&cb=1587607419439&jobListingId=3474750816"
"Data Analyst"," DRT Strategies, Inc.","DC","Washington","$48k-$57k","Washington, DC","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=972425&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_3a8303a5&cb=1587607419440&jobListingId=3533070726"
"Data Analyst"," CALIBRE Systems","VA","Alexandria","$69k-$83k","Alexandria, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=856743&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_aec9b317&cb=1587607419442&jobListingId=3405204218"
"Data Science Team - Data Analyst I"," CNA Corporation","VA","Arlington","$99k-$128k","Arlington, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=848951&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_cea98d4a&cb=1587607419444&jobListingId=3477902025"
"Operations Analyst"," IFC","DC","Washington","$54k-$83k","Washington, DC","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=925793&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_051f5b36&cb=1587607419445&jobListingId=3556012977"
"Data Support Analyst"," Peraton","VA","Arlington","$52k-$116k","Arlington, VA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=347163&s=58&guid=00000171a4c6b7ec85d312acb4ac5e8f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_682fc673&cb=1587607419447&jobListingId=3553927328"
